# id;timestamp;commentText;codeText;commentWords;codeWords
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias);1524684173;Adds an alias to the index.__@param indices The indices_@param alias   The alias;public IndicesAliasesRequestBuilder addAlias(String[] indices, String alias) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter);1529082965;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,string,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter);1534362961;Adds an alias to the index.__@param indices The indices_@param alias   The alias_@param filter  The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, String filter) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,string,filter,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases);1524684173;Removes aliases from the index.__@param index   The index_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases) {_        request.addAliasAction(AliasActions.remove().index(index).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,index,the,index,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,index,string,aliases,request,add,alias,action,alias,actions,remove,index,index,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases);1529082965;Removes aliases from the index.__@param index   The index_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases) {_        request.addAliasAction(AliasActions.remove().index(index).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,index,the,index,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,index,string,aliases,request,add,alias,action,alias,actions,remove,index,index,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases);1534362961;Removes aliases from the index.__@param index   The index_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String index, String[] aliases) {_        request.addAliasAction(AliasActions.remove().index(index).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,index,the,index,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,index,string,aliases,request,add,alias,action,alias,actions,remove,index,index,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases);1524684173;Removes aliases from the index.__@param indices The indices_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases) {_        request.addAliasAction(AliasActions.remove().indices(indices).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,indices,the,indices,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,indices,string,aliases,request,add,alias,action,alias,actions,remove,indices,indices,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases);1529082965;Removes aliases from the index.__@param indices The indices_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases) {_        request.addAliasAction(AliasActions.remove().indices(indices).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,indices,the,indices,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,indices,string,aliases,request,add,alias,action,alias,actions,remove,indices,indices,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases);1534362961;Removes aliases from the index.__@param indices The indices_@param aliases The aliases;public IndicesAliasesRequestBuilder removeAlias(String[] indices, String... aliases) {_        request.addAliasAction(AliasActions.remove().indices(indices).aliases(aliases))__        return this__    };removes,aliases,from,the,index,param,indices,the,indices,param,aliases,the,aliases;public,indices,aliases,request,builder,remove,alias,string,indices,string,aliases,request,add,alias,action,alias,actions,remove,indices,indices,aliases,aliases,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder);1524684173;Adds an alias to the index.__@param indices       The indices_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder);1529082965;Adds an alias to the index.__@param indices       The indices_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder);1534362961;Adds an alias to the index.__@param indices       The indices_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String indices[], String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().indices(indices).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,indices,the,indices,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,indices,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,indices,indices,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias);1524684173;Adds an alias to the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder addAlias(String index, String alias) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,index,string,alias,request,add,alias,action,alias,actions,add,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias);1529082965;Adds an alias to the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder addAlias(String index, String alias) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,index,string,alias,request,add,alias,action,alias,actions,add,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias);1534362961;Adds an alias to the index.__@param index The index_@param alias The alias;public IndicesAliasesRequestBuilder addAlias(String index, String alias) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias;public,indices,aliases,request,builder,add,alias,string,index,string,alias,request,add,alias,action,alias,actions,add,index,index,alias,alias,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter);1524684173;Adds an alias to the index.__@param index  The indices_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter);1529082965;Adds an alias to the index.__@param index  The indices_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter);1534362961;Adds an alias to the index.__@param index  The indices_@param alias  The alias_@param filter The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, Map<String, Object> filter) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filter))__        return this__    };adds,an,alias,to,the,index,param,index,the,indices,param,alias,the,alias,param,filter,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,map,string,object,filter,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder);1524684173;Adds an alias to the index.__@param index         The index_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder);1529082965;Adds an alias to the index.__@param index         The index_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder);1534362961;Adds an alias to the index.__@param index         The index_@param alias         The alias_@param filterBuilder The filter;public IndicesAliasesRequestBuilder addAlias(String index, String alias, QueryBuilder filterBuilder) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).filter(filterBuilder))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,filter,builder,the,filter;public,indices,aliases,request,builder,add,alias,string,index,string,alias,query,builder,filter,builder,request,add,alias,action,alias,actions,add,index,index,alias,alias,filter,filter,builder,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, boolean writeIndex);1529082965;Adds an alias to the index.__@param index         The index_@param alias         The alias_@param writeIndex    write index flag;public IndicesAliasesRequestBuilder addAlias(String index, String alias, boolean writeIndex) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).writeIndex(writeIndex))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,write,index,write,index,flag;public,indices,aliases,request,builder,add,alias,string,index,string,alias,boolean,write,index,request,add,alias,action,alias,actions,add,index,index,alias,alias,write,index,write,index,return,this
IndicesAliasesRequestBuilder -> public IndicesAliasesRequestBuilder addAlias(String index, String alias, boolean writeIndex);1534362961;Adds an alias to the index.__@param index         The index_@param alias         The alias_@param writeIndex    write index flag;public IndicesAliasesRequestBuilder addAlias(String index, String alias, boolean writeIndex) {_        request.addAliasAction(AliasActions.add().index(index).alias(alias).writeIndex(writeIndex))__        return this__    };adds,an,alias,to,the,index,param,index,the,index,param,alias,the,alias,param,write,index,write,index,flag;public,indices,aliases,request,builder,add,alias,string,index,string,alias,boolean,write,index,request,add,alias,action,alias,actions,add,index,index,alias,alias,write,index,write,index,return,this
