# id;timestamp;commentText;codeText;commentWords;codeWords
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder clear();1524684173;Do not include any data;public ClusterStateRequestBuilder clear() {_        request.clear()__        return this__    };do,not,include,any,data;public,cluster,state,request,builder,clear,request,clear,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder all();1540847035;Include all data;public ClusterStateRequestBuilder all() {_        request.all()__        return this__    };include,all,data;public,cluster,state,request,builder,all,request,all,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setMetaData(boolean filter);1524684173;Should the cluster state result include the {@link org.elasticsearch.cluster.metadata.MetaData}. Defaults_to <tt>true</tt>.;public ClusterStateRequestBuilder setMetaData(boolean filter) {_        request.metaData(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,metadata,meta,data,defaults,to,tt,true,tt;public,cluster,state,request,builder,set,meta,data,boolean,filter,request,meta,data,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setMetaData(boolean filter);1525334055;Should the cluster state result include the {@link org.elasticsearch.cluster.metadata.MetaData}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setMetaData(boolean filter) {_        request.metaData(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,metadata,meta,data,defaults,to,code,true;public,cluster,state,request,builder,set,meta,data,boolean,filter,request,meta,data,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setMetaData(boolean filter);1540847035;Should the cluster state result include the {@link org.elasticsearch.cluster.metadata.MetaData}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setMetaData(boolean filter) {_        request.metaData(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,metadata,meta,data,defaults,to,code,true;public,cluster,state,request,builder,set,meta,data,boolean,filter,request,meta,data,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setCustoms(boolean filter);1524684173;Should the cluster state result include the {@link org.elasticsearch.cluster.ClusterState.Custom}. Defaults_to <tt>true</tt>.;public ClusterStateRequestBuilder setCustoms(boolean filter) {_        request.customs(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,cluster,state,custom,defaults,to,tt,true,tt;public,cluster,state,request,builder,set,customs,boolean,filter,request,customs,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setCustoms(boolean filter);1525334055;Should the cluster state result include the {@link org.elasticsearch.cluster.ClusterState.Custom}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setCustoms(boolean filter) {_        request.customs(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,cluster,state,custom,defaults,to,code,true;public,cluster,state,request,builder,set,customs,boolean,filter,request,customs,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setCustoms(boolean filter);1540847035;Should the cluster state result include the {@link org.elasticsearch.cluster.ClusterState.Custom}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setCustoms(boolean filter) {_        request.customs(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,cluster,state,custom,defaults,to,code,true;public,cluster,state,request,builder,set,customs,boolean,filter,request,customs,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setNodes(boolean filter);1524684173;Should the cluster state result include the {@link org.elasticsearch.cluster.node.DiscoveryNodes}. Defaults_to <tt>true</tt>.;public ClusterStateRequestBuilder setNodes(boolean filter) {_        request.nodes(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,node,discovery,nodes,defaults,to,tt,true,tt;public,cluster,state,request,builder,set,nodes,boolean,filter,request,nodes,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setNodes(boolean filter);1525334055;Should the cluster state result include the {@link org.elasticsearch.cluster.node.DiscoveryNodes}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setNodes(boolean filter) {_        request.nodes(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,node,discovery,nodes,defaults,to,code,true;public,cluster,state,request,builder,set,nodes,boolean,filter,request,nodes,filter,return,this
ClusterStateRequestBuilder -> public ClusterStateRequestBuilder setNodes(boolean filter);1540847035;Should the cluster state result include the {@link org.elasticsearch.cluster.node.DiscoveryNodes}. Defaults_to {@code true}.;public ClusterStateRequestBuilder setNodes(boolean filter) {_        request.nodes(filter)__        return this__    };should,the,cluster,state,result,include,the,link,org,elasticsearch,cluster,node,discovery,nodes,defaults,to,code,true;public,cluster,state,request,builder,set,nodes,boolean,filter,request,nodes,filter,return,this
